[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:12,871 INFO Emulation - Epoch # 129 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:13,882 INFO Emulation - Epoch # 130 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:14,891 INFO Emulation - Epoch # 131 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:15,905 INFO Emulation - Epoch # 132 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:16,917 INFO Emulation - Epoch # 133 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:17,925 INFO Emulation - Epoch # 134 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:18,940 INFO Emulation - Epoch # 135 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:19,953 INFO Emulation - Epoch # 136 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:20,975 INFO Emulation - Epoch # 137 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:21,997 INFO Emulation - Epoch # 138 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:23,012 INFO Emulation - Epoch # 139 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:24,026 INFO Emulation - Epoch # 140 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:25,038 INFO Emulation - Epoch # 141 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:26,047 INFO Emulation - Epoch # 142 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:27,061 INFO Emulation - Epoch # 143 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:28,080 INFO Emulation - Epoch # 144 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:29,099 INFO Emulation - Epoch # 145 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:30,119 INFO Emulation - Epoch # 146 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:31,129 INFO Emulation - Epoch # 147 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:32,159 INFO Emulation - Epoch # 148 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:33,175 INFO Emulation - Epoch # 149 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:34,189 INFO Emulation - Epoch # 150 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:35,198 INFO Emulation - Epoch # 151 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:36,208 INFO Emulation - Epoch # 152 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:37,219 INFO Emulation - Epoch # 153 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:38,227 INFO Emulation - Epoch # 154 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:39,238 INFO Emulation - Epoch # 155 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:40,246 INFO Emulation - Epoch # 156 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:41,252 INFO Emulation - Epoch # 157 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:42,259 INFO Emulation - Epoch # 158 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:43,264 INFO Emulation - Epoch # 159 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:44,272 INFO Emulation - Epoch # 160 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:45,282 INFO Emulation - Epoch # 161 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:46,298 INFO Emulation - Epoch # 162 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:47,312 INFO Emulation - Epoch # 163 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:48,328 INFO Emulation - Epoch # 164 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:49,339 INFO Emulation - Epoch # 165 - loss => 17.332721507910527
[nn_tt_emulation.py:133 -   <module>()] 2023-04-14 00:34:50,356 INFO Emulation - Epoch # 166 - loss => 17.332721507910527
